No.;Komoditas(Rp);13/04/2021;14/04/2021;15/04/2021;16/04/2021;19/04/2021;20/04/2021;21/04/2021
I;Beras; Rp11.800 ; Rp11.800 ; Rp11.800 ; Rp11.800 ; Rp11.800 ; Rp11.750 ; Rp11.750 
1;Beras Kualitas Bawah I (kg); Rp10.750 ; Rp10.750 ; Rp10.750 ; Rp10.750 ; Rp10.750 ; Rp10.750 ; Rp10.750 
2;Beras Kualitas Bawah II (kg); Rp10.450 ; Rp10.450 ; Rp10.450 ; Rp10.450 ; Rp10.450 ; Rp10.450 ; Rp10.450 
3;Beras Kualitas Medium I (kg); Rp11.800 ; Rp11.800 ; Rp11.800 ; Rp11.800 ; Rp11.800 ; Rp11.800 ; Rp11.800 
4;Beras Kualitas Medium II (kg); Rp11.600 ; Rp11.600 ; Rp11.600 ; Rp11.600 ; Rp11.600 ; Rp11.600 ; Rp11.600 
5;Beras Kualitas Super I (kg); Rp13.050 ; Rp13.050 ; Rp13.050 ; Rp13.050 ; Rp13.050 ; Rp13.050 ; Rp13.050 
6;Beras Kualitas Super II (kg); Rp12.700 ; Rp12.700 ; Rp12.700 ; Rp12.700 ; Rp12.700 ; Rp12.700 ; Rp12.700 
II;Daging Ayam; Rp37.800 ; Rp37.800 ; Rp37.800 ; Rp37.750 ; Rp37.300 ; Rp37.150 ; Rp36.900 
1;Daging Ayam Ras Segar (kg); Rp37.800 ; Rp37.800 ; Rp37.800 ; Rp37.750 ; Rp37.300 ; Rp37.150 ; Rp36.900 
III;Daging Sapi; Rp123.200 ; Rp122.850 ; Rp122.450 ; Rp122.050 ; Rp121.750 ; Rp121.650 ; Rp121.750 
1;Daging Sapi Kualitas 1 (kg); Rp126.800 ; Rp126.450 ; Rp126.100 ; Rp125.750 ; Rp125.450 ; Rp125.350 ; Rp125.400 
2;Daging Sapi Kualitas 2 (kg); Rp117.750 ; Rp116.700 ; Rp116.250 ; Rp116.100 ; Rp115.800 ; Rp115.700 ; Rp115.900 
IV;Telur Ayam; Rp25.950 ; Rp26.100 ; Rp26.150 ; Rp26.150 ; Rp26.250 ; Rp26.300 ; Rp26.300 
1;Telur Ayam Ras Segar (kg); Rp25.950 ; Rp26.100 ; Rp26.150 ; Rp26.150 ; Rp26.250 ; Rp26.300 ; Rp26.300 
V;Bawang Merah; Rp34.200 ; Rp34.200 ; Rp34.200 ; Rp34.150 ; Rp34.050 ; Rp33.950 ; Rp33.850 
1;Bawang Merah Ukuran Sedang (kg); Rp34.200 ; Rp34.200 ; Rp34.200 ; Rp34.150 ; Rp34.050 ; Rp33.950 ; Rp33.850 
VI;Bawang Putih; Rp30.100 ; Rp30.150 ; Rp30.200 ; Rp30.200 ; Rp30.200 ; Rp30.100 ; Rp30.100 
1;Bawang Putih Ukuran Sedang (kg); Rp30.100 ; Rp30.150 ; Rp30.200 ; Rp30.200 ; Rp30.200 ; Rp30.100 ; Rp30.100 
VII;Cabai Merah; Rp52.050 ; Rp52.850 ; Rp53.250 ; Rp52.650 ; Rp50.050 ; Rp49.250 ; Rp48.600 
1;Cabai Merah Besar (kg); Rp53.000 ; Rp54.400 ; Rp55.950 ; Rp54.400 ; Rp52.250 ; Rp51.500 ; Rp50.700 
2;Cabai Merah Keriting  (kg); Rp51.500 ; Rp52.200 ; Rp52.050 ; Rp52.050 ; Rp49.650 ; Rp48.850 ; Rp48.400 
VIII;Cabai Rawit; Rp69.750 ; Rp69.500 ; Rp70.000 ; Rp71.300 ; Rp65.900 ; Rp64.800 ; Rp63.250 
1;Cabai Rawit Hijau (kg); Rp56.250 ; Rp56.050 ; Rp56.900 ; Rp58.100 ; Rp55.900 ; Rp55.400 ; Rp53.100 
2;Cabai Rawit Merah (kg); Rp82.800 ; Rp82.900 ; Rp83.700 ; Rp85.650 ; Rp76.100 ; Rp74.400 ; Rp73.150 
IX;Minyak Goreng; Rp14.800 ; Rp14.800 ; Rp14.800 ; Rp14.800 ; Rp14.850 ; Rp14.850 ; Rp14.850 
1;Minyak Goreng Curah (kg); Rp13.900 ; Rp13.900 ; Rp13.900 ; Rp13.900 ; Rp13.900 ; Rp13.900 ; Rp13.900 
2;Minyak Goreng Kemasan Bermerk 1 (kg); Rp15.400 ; Rp15.400 ; Rp15.400 ; Rp15.400 ; Rp15.400 ; Rp15.400 ; Rp15.450 
3;Minyak Goreng Kemasan Bermerk 2 (kg); Rp14.850 ; Rp14.850 ; Rp14.850 ; Rp14.850 ; Rp14.850 ; Rp14.850 ; Rp14.850 
X;Gula Pasir; Rp14.250 ; Rp14.250 ; Rp14.250 ; Rp14.250 ; Rp14.250 ; Rp14.250 ; Rp14.250 
1;Gula Pasir Kualitas Premium (kg); Rp15.550 ; Rp15.550 ; Rp15.550 ; Rp15.550 ; Rp15.550 ; Rp15.550 ; Rp15.550 
2;Gula Pasir Lokal (kg); Rp13.350 ; Rp13.350 ; Rp13.350 ; Rp13.350 ; Rp13.350 ; Rp13.350 ; Rp13.350 
